timestamp,site_id,cell_id,tech,prb_utilization_pct,rrc_setup_success_rate_pct,rrc_drop_rate_pct,avg_throughput_mbps,active_users
2026-09-10T08:00:00Z,SITE-014,CELL-014A,5G-NR,42.1,99.2,0.8,180.4,112
2026-09-10T08:00:00Z,SITE-014,CELL-014B,5G-NR,39.5,99.4,0.7,175.2,98
2026-09-10T08:00:00Z,SITE-022,CELL-022A,4G-LTE,55.3,98.9,1.1,62.7,145
2026-09-10T08:00:00Z,SITE-031,CELL-031A,5G-NR,47.8,99.1,0.9,168.9,120
2026-09-10T08:15:00Z,SITE-014,CELL-014A,5G-NR,44.0,99.1,0.8,178.9,115
2026-09-10T08:15:00Z,SITE-014,CELL-014B,5G-NR,41.2,99.3,0.7,174.0,101
2026-09-10T08:15:00Z,SITE-022,CELL-022A,4G-LTE,56.0,98.8,1.2,61.9,148
2026-09-10T08:15:00Z,SITE-031,CELL-031A,5G-NR,48.5,99.0,0.9,167.2,122
2026-09-10T08:30:00Z,SITE-014,CELL-014A,5G-NR,45.2,99.0,0.9,177.1,118
2026-09-10T08:30:00Z,SITE-014,CELL-014B,5G-NR,42.8,99.2,0.8,172.5,103
2026-09-10T08:30:00Z,SITE-022,CELL-022A,4G-LTE,58.1,98.6,1.4,60.2,151
2026-09-10T08:30:00Z,SITE-031,CELL-031A,5G-NR,79.4,96.1,3.2,142.0,168
2026-09-10T08:45:00Z,SITE-014,CELL-014A,5G-NR,46.0,99.0,0.9,176.8,119
2026-09-10T08:45:00Z,SITE-014,CELL-014B,5G-NR,43.1,99.1,0.8,171.9,104
2026-09-10T08:45:00Z,SITE-022,CELL-022A,4G-LTE,59.0,98.5,1.5,59.8,153
2026-09-10T08:45:00Z,SITE-031,CELL-031A,5G-NR,91.8,89.4,7.6,88.3,201
2026-09-10T09:00:00Z,SITE-014,CELL-014A,5G-NR,45.7,99.1,0.8,177.5,117
2026-09-10T09:00:00Z,SITE-014,CELL-014B,5G-NR,42.6,99.2,0.7,173.1,102
2026-09-10T09:00:00Z,SITE-022,CELL-022A,4G-LTE,57.4,98.7,1.3,60.9,150
2026-09-10T09:00:00Z,SITE-031,CELL-031A,5G-NR,96.3,81.2,11.4,54.1,214
